"event_date_UTC","network_code","park_code","site_name","station_code","SET_direction","pin_position","SET_offset_mm","pin_length_mm","pin_height_mm","set_type"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","A",5,393,762,243,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-3","A",5,393,762,212,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-3","A",8,393,762,240,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-3","A",5,393,762,205,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-3","A",8,393,762,226,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-4","B",4,393,762,233,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","C",1,393,762,252,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","C",1,393,762,253,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","C",4,393,762,255,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","C",7,393,762,258,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-3","C",2,393,762,224,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-3","D",9,393,762,231,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-3","A",9,393,762,232,"deep"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","C",9,393,762,246,"shallow"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-4","C",3,393,762,209,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","D",6,393,762,241,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","D",6,393,762,248,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","B",3,393,762,254,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","B",6,393,762,254,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","A",6,393,762,247,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-4","B",7,393,762,241,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-4","C",1,393,762,232,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-4","D",1,393,762,217,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-4","D",4,393,762,214,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-4","D",7,393,762,215,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","D",1,393,762,245,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","D",4,393,762,255,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","D",7,393,762,230,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","D",1,393,762,254,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","D",4,393,762,265,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","D",7,393,762,241,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","A",1,393,762,250,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","B",1,393,762,253,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","B",4,393,762,236,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","A",4,393,762,241,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","A",7,393,762,258,"shallow"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","A",7,393,762,248,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-4","D",7,393,762,220,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-4","B",1,393,762,228,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-4","C",1,393,762,216,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-4","C",4,393,762,220,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","B",1,393,762,251,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","B",4,393,762,239,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","B",7,393,762,250,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","D",1,393,762,247,"shallow"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","B",1,393,762,253,"shallow"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","B",4,393,762,246,"shallow"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","B",7,393,762,244,"shallow"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","D",1,393,762,247,"shallow"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","D",4,393,762,260,"shallow"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","D",7,393,762,228,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","C",1,393,762,200,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","C",4,393,762,201,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","D",1,393,762,206,"deep"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-4","C",1,393,762,213,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","C",4,393,762,246,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","A",1,393,762,250,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","B",1,393,762,194,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","B",4,393,762,195,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","B",7,393,762,189,"deep"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-4","C",4,393,762,210,"deep"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-4","C",7,393,762,215,"deep"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-1","D",1,393,762,190,"deep"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","C",4,393,762,249,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-4","A",1,393,762,221,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-4","A",4,393,762,225,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-4","D",1,393,762,225,"deep"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-4","B",7,393,762,228,"deep"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-4","A",1,393,762,213,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","C",7,393,762,252,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","D",7,393,762,234,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","A",4,393,762,247,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","A",7,393,762,252,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","A",4,393,762,201,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","A",7,393,762,196,"deep"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","A",1,393,762,255,"shallow"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","C",7,393,762,249,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","B",1,393,762,256,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","B",4,393,762,248,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","B",7,393,762,244,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","B",7,393,762,250,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-4","D",7,393,762,218,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-4","A",7,393,762,233,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-4","D",4,393,762,224,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-4","D",7,393,762,228,"deep"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-4","A",4,393,762,215,"deep"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-4","A",7,393,762,212,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-2","A",1,393,762,263,"shallow"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-2","A",4,393,762,256,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-1","B",1,393,762,192,"deep"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-1","B",4,393,762,185,"deep"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-1","A",1,393,762,193,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-2","D",1,393,762,261,"shallow"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-2","A",7,393,762,266,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-1","B",7,393,762,180,"deep"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-1","A",4,393,762,198,"deep"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-1","A",7,393,762,193,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-4","A",5,393,762,226,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-4","A",8,393,762,232,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-4","C",5,393,762,222,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-4","C",8,393,762,221,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","C",5,393,762,245,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","C",8,393,762,248,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","A",5,393,762,245,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","D",5,393,762,252,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","C",5,393,762,247,"shallow"
